date,hour,open,high,low,close,real_volume,tick_volume
2017.01.11,16:30:00,63045,63100,62860,62925,40738,13060
2017.01.11,17:00:00,62925,63045,62880,62995,30563,9438
2017.01.11,17:30:00,62995,63250,62975,63240,28132,8989
2017.01.11,18:00:00,63240,63250,63130,63130,7997,1709
2017.01.12,09:00:00,64350,65125,64280,64925,74739,23617
2017.01.12,09:30:00,64930,65250,64870,65120,60463,19039
2017.01.12,10:00:00,65120,65150,64795,64800,59825,19825
2017.01.12,10:30:00,64800,64970,64715,64755,54079,18524
2017.01.12,11:00:00,64755,65005,64715,64845,49329,15576
2017.01.12,11:30:00,64855,64890,64665,64885,60753,19271
2017.01.12,12:00:00,64885,64915,64685,64700,30931,10158
2017.01.12,12:30:00,64695,64880,64550,64765,71547,23596
2017.01.12,13:00:00,64770,64835,64520,64725,55565,18062
2017.01.12,13:30:00,64735,64750,64570,64595,28075,9951
2017.01.12,14:00:00,64600,64785,64535,64730,42303,13979
2017.01.12,14:30:00,64735,64935,64655,64900,34776,10530
2017.01.12,15:00:00,64900,64995,64760,64945,42247,14059
2017.01.12,15:30:00,64945,65070,64860,64910,42516,13844
2017.01.12,16:00:00,64910,64955,64750,64825,36492,12273
2017.01.12,16:30:00,64825,64930,64715,64850,32108,11131
2017.01.12,17:00:00,64855,64870,64750,64855,25987,8446
2017.01.12,17:30:00,64855,64860,64740,64780,19473,6492
2017.01.12,18:00:00,64780,64805,64620,64700,10041,2204
